== PSL(2,81): order 265680 built in 3.8s
  [PSL(2,81)] |G|=265680 degree=82 odd classes=24 involution classes=1 subgroup candidates=25 (largest 3240)  setup 322.0s
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=4: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.9s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.8s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=3: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.6s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [9.7s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=4: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=3: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=4: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=3: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=4: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=3: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.2s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.5s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.4s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [9.4s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.4s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [9.4s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.8s]
    pair ord(x)=5 ord(ax)=20: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [9.3s]
    pair ord(x)=5 ord(ax)=41: True quotient by N(Z3) of order 162 (1640 vertices) [8.9s]
    pair ord(x)=5 ord(ax)=40: True quotient by N(Z3) of order 162 (1640 vertices) [9.2s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=4: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.6s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=10: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.3s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=20: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=8: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=40: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=5: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.4s]
    pair ord(x)=41 ord(ax)=41: True quotient by N(C(x3)) of order 3240 (82 vertices) [8.5s]
